date,symbol,adj_close
2024-12-09,NOW,224.096
2024-12-09,NVDA,138.51
2024-12-09,O,51.6415
2024-12-09,ORCL,187.55
2024-12-09,PFE,23.52
2024-12-09,PLTR,72.46
2024-12-09,PLUG,2.67
2024-12-09,PSEC,3.64
2024-12-09,PYPL,89.58
2024-12-09,QBTS,4.65
2024-12-09,QCOM,155.41
2024-12-09,RGTI,4.47
2024-12-09,RIVN,14.45
2024-12-09,RKLB,23.24
2024-12-09,SBUX,95.62
2024-12-09,SNAP,12.5
2024-12-09,SNDL,1.89
2024-12-09,SOFI,15.57
2024-12-09,SOUN,15.06
2024-12-09,SPCE,6.57
2024-12-09,T,21.705
2024-12-09,TSLA,389.79
2024-12-09,UBER,65.74
2024-12-09,VST,146.959
2024-12-09,WMT,92.1875
2024-12-09,XOM,106.84
2024-12-10,AAL,17.49
2024-12-10,AAPL,246.21
2024-12-10,ABBV,165.65
2024-12-10,ACHR,7.72
2024-12-10,AMC,4.45
2024-12-10,AMD,127.74
2024-12-10,AMZN,225.04
2024-12-10,AVGO,168.15
2024-12-10,BA,164.1
2024-12-10,BAC,44.11
2024-12-10,BBAI,3.11
2024-12-10,CCL,25.53
2024-12-10,COIN,302.42
2024-12-10,COST,985.57
2024-12-10,CRWD,346.775
2024-12-10,CVX,146.6
2024-12-10,DAL,61.72
2024-12-10,DIS,112.98
2024-12-10,DJT,34.16
2024-12-10,F,9.51
2024-12-10,GE,169.08
2024-12-10,GME,26.93
2024-12-10,GOOG,185.27
2024-12-10,GOOGL,183.91
2024-12-10,HOOD,37.36
2024-12-10,INTC,20.16
2024-12-10,IONQ,32.97
2024-12-10,JNJ,141.45
2024-12-10,JPM,234.31
2024-12-10,KO,59.81
2024-12-10,LCID,23.6
2024-12-10,LLY,790.12
2024-12-10,META,615.67
2024-12-10,MRK,95.21
2024-12-10,MRVL,106.32
2024-12-10,MSFT,438.11
2024-12-10,MU,97.375
2024-12-10,NEE,70.6276
2024-12-10,NFLX,91.335
2024-12-10,NKE,74.31
2024-12-10,NOW,225.568
2024-12-10,NVDA,134.77
2024-12-10,O,50.9415
2024-12-10,ORCL,174.84
2024-12-10,PFE,22.99
2024-12-10,PLTR,70.89
2024-12-10,PLUG,2.51
2024-12-10,PSEC,3.61
2024-12-10,PYPL,88.34
2024-12-10,QBTS,4.68
2024-12-10,QCOM,151.13
2024-12-10,RGTI,6.49
2024-12-10,RIVN,14.06
2024-12-10,RKLB,22.85
2024-12-10,SBUX,94.47
2024-12-10,SNAP,12.41
2024-12-10,SNDL,1.86
2024-12-10,SOFI,15.29
2024-12-10,SOUN,14.225
2024-12-10,SPCE,6.49
2024-12-10,T,21.845
2024-12-10,TSLA,400.99
2024-12-10,UBER,64.96
2024-12-10,VST,140.169
2024-12-10,WMT,92.9075
2024-12-10,XOM,106.61
2024-12-11,AAL,17.58
2024-12-11,AAPL,244.93
2024-12-11,ABBV,164.35
2024-12-11,ACHR,7.39
2024-12-11,AMC,4.35
2024-12-11,AMD,130.15
2024-12-11,AMZN,230.26
2024-12-11,AVGO,179.54
2024-12-11,BA,165.96
2024-12-11,BAC,44.44
2024-12-11,BBAI,2.98
2024-12-11,CCL,26.31
2024-12-11,COIN,313.81
2024-12-11,COST,986.86
2024-12-11,CRWD,362.97
2024-12-11,CVX,145.81
2024-12-11,DAL,62.43
2024-12-11,DIS,112.86
2024-12-11,DJT,36.23
2024-12-11,F,9.36
2024-12-11,GE,166.45
2024-12-11,GME,28.97
2024-12-11,GOOG,195.45
2024-12-11,GOOGL,194.14
2024-12-11,HOOD,37.84
2024-12-11,INTC,20.12
2024-12-11,IONQ,29.83
2024-12-11,JNJ,138.86
2024-12-11,JPM,234.98
2024-12-11,KO,59.54
2024-12-11,LCID,24.3
2024-12-11,LLY,786.57
2024-12-11,META,629.03
2024-12-11,MRK,93.96
2024-12-11,MRVL,111.0
2024-12-11,MSFT,443.77
2024-12-11,MU,101.33
2024-12-11,NEE,70.4676
2024-12-11,NFLX,93.656
2024-12-11,NKE,76.42
2024-12-11,NOW,229.436
2024-12-11,NVDA,139.01
2024-12-11,O,50.4815
2024-12-11,ORCL,175.68
2024-12-11,PFE,22.65
2024-12-11,PLTR,72.51
2024-12-11,PLUG,2.5
2024-12-11,PSEC,3.64
2024-12-11,PYPL,90.33
2024-12-11,QBTS,4.12
2024-12-11,QCOM,154.5
2024-12-11,RGTI,7.38
2024-12-11,RIVN,13.76
2024-12-11,RKLB,23.35
2024-12-11,SBUX,94.73
2024-12-11,SNAP,12.0
2024-12-11,SNDL,1.83
2024-12-11,SOFI,15.94
2024-12-11,SOUN,13.55
2024-12-11,SPCE,6.49
2024-12-11,T,21.815
2024-12-11,TSLA,424.77
2024-12-11,UBER,61.18
2024-12-11,VST,144.649
2024-12-11,WMT,93.3175
2024-12-11,XOM,105.86
2024-12-12,AAL,17.24
2024-12-12,AAPL,246.4
2024-12-12,ABBV,163.17
2024-12-12,ACHR,7.17
2024-12-12,AMC,4.31
2024-12-12,AMD,130.6
2024-12-12,AMZN,228.97
2024-12-12,AVGO,177.0
2024-12-12,BA,167.75
2024-12-12,BAC,44.44
2024-12-12,BBAI,2.66
2024-12-12,CCL,25.88
2024-12-12,COIN,312.96
2024-12-12,COST,980.56
2024-12-12,CRWD,365.5
2024-12-12,CVX,144.31
2024-12-12,DAL,60.58
2024-12-12,DIS,113.15
2024-12-12,DJT,36.2
2024-12-12,F,9.34
2024-12-12,GE,162.64
2024-12-12,GME,28.75
2024-12-12,GOOG,192.37
2024-12-12,GOOGL,190.7
2024-12-12,HOOD,39.33
2024-12-12,INTC,20.78
2024-12-12,IONQ,29.99
2024-12-12,JNJ,138.46
2024-12-12,JPM,232.98
2024-12-12,KO,60.74
2024-12-12,LCID,25.4
2024-12-12,LLY,772.89
2024-12-12,META,627.14
2024-12-12,MRK,95.46
2024-12-12,MRVL,108.645
2024-12-12,MSFT,444.34
2024-12-12,MU,97.515
2024-12-12,NEE,69.7076
2024-12-12,NFLX,92.555
2024-12-12,NKE,75.53
2024-12-12,NOW,229.684
2024-12-12,NVDA,137.04
2024-12-12,O,50.3015
2024-12-12,ORCL,172.42
2024-12-12,PFE,22.79
2024-12-12,PLTR,73.2
2024-12-12,PLUG,2.4
2024-12-12,PSEC,3.68
2024-12-12,PYPL,88.98
2024-12-12,QBTS,3.91
2024-12-12,QCOM,152.91
2024-12-12,RGTI,5.97
2024-12-12,RIVN,14.2
2024-12-12,RKLB,22.58
2024-12-12,SBUX,94.13
2024-12-12,SNAP,11.38
2024-12-12,SNDL,1.82
2024-12-12,SOFI,15.9
2024-12-12,SOUN,13.67
2024-12-12,SPCE,6.39
2024-12-12,T,21.695
2024-12-12,TSLA,418.1
2024-12-12,UBER,61.41
2024-12-12,VST,143.729
2024-12-12,WMT,92.4475
2024-12-12,XOM,105.76
2024-12-13,AAL,16.92
2024-12-13,AAPL,246.57
2024-12-13,ABBV,163.35
2024-12-13,ACHR,8.39
2024-12-13,AMC,4.18
2024-12-13,AMD,126.91
2024-12-13,AMZN,227.46
2024-12-13,AVGO,221.14
2024-12-13,BA,169.65
2024-12-13,BAC,44.03
2024-12-13,BBAI,2.52
2024-12-13,CCL,25.6
2024-12-13,COIN,310.58
2024-12-13,COST,981.52
2024-12-13,CRWD,368.02
2024-12-13,CVX,143.47
2024-12-13,DAL,60.47
2024-12-13,DIS,111.59
2024-12-13,DJT,36.59
2024-12-13,F,9.34
2024-12-13,GE,163.82
2024-12-13,GME,27.99
2024-12-13,GOOG,190.12
2024-12-13,GOOGL,188.56
2024-12-13,HOOD,40.2
2024-12-13,INTC,20.34
2024-12-13,IONQ,33.83
2024-12-13,JNJ,138.84
2024-12-13,JPM,231.39
2024-12-13,KO,60.02
2024-12-13,LCID,25.8
2024-12-13,LLY,779.66
2024-12-13,META,616.7
2024-12-13,MRK,96.21
2024-12-13,MRVL,120.41
2024-12-13,MSFT,442.05
2024-12-13,MU,101.775
2024-12-13,NEE,70.1076
2024-12-13,NFLX,91.887
2024-12-13,NKE,74.82
2024-12-13,NOW,224.22
2024-12-13,NVDA,133.95
2024-12-13,O,50.5015
2024-12-13,ORCL,170.49
2024-12-13,PFE,23.0
2024-12-13,PLTR,76.07
2024-12-13,PLUG,2.43
2024-12-13,PSEC,3.7
2024-12-13,PYPL,90.6
2024-12-13,QBTS,5.0
2024-12-13,QCOM,153.2
2024-12-13,RGTI,7.16
2024-12-13,RIVN,14.37
2024-12-13,RKLB,24.42
2024-12-13,SBUX,93.73
2024-12-13,SNAP,11.31
2024-12-13,SNDL,1.78
2024-12-13,SOFI,16.25
2024-12-13,SOUN,16.91
2024-12-13,SPCE,6.48
2024-12-13,T,21.965
2024-12-13,TSLA,436.23
2024-12-13,UBER,59.93
2024-12-13,VST,143.539
2024-12-13,WMT,92.815
2024-12-13,XOM,104.78
2024-12-16,AAL,16.52
2024-12-16,AAPL,249.48
2024-12-16,ABBV,161.61
2024-12-16,ACHR,8.87
2024-12-16,AMC,4.06
2024-12-16,AMD,126.69
2024-12-16,AMZN,232.93
2024-12-16,AVGO,246.34
2024-12-16,BA,173.17
2024-12-16,BAC,43.83
2024-12-16,BBAI,2.99
2024-12-16,CCL,25.61
2024-12-16,COIN,315.31
2024-12-16,COST,985.04
2024-12-16,CRWD,388.2
2024-12-16,CVX,138.96
2024-12-16,DAL,60.0
2024-12-16,DIS,110.86
2024-12-16,DJT,38.5
2024-12-16,F,8.94
2024-12-16,GE,163.6
2024-12-16,GME,29.44
2024-12-16,GOOG,196.9
2024-12-16,GOOGL,195.4
2024-12-16,HOOD,43.2
2024-12-16,INTC,20.83
2024-12-16,IONQ,41.81
2024-12-16,JNJ,136.07
2024-12-16,JPM,231.03
2024-12-16,KO,59.45
2024-12-16,LCID,27.3
2024-12-16,LLY,769.54
2024-12-16,META,621.09
2024-12-16,MRK,95.08
2024-12-16,MRVL,124.42
2024-12-16,MSFT,446.37
2024-12-16,MU,107.535
2024-12-16,NEE,69.2776
2024-12-16,NFLX,92.108
2024-12-16,NKE,74.77
2024-12-16,NOW,225.986
2024-12-16,NVDA,131.7
2024-12-16,O,49.7415
2024-12-16,ORCL,168.33
2024-12-16,PFE,22.67
2024-12-16,PLTR,75.75
2024-12-16,PLUG,2.45
2024-12-16,PSEC,3.58
2024-12-16,PYPL,90.88
2024-12-16,QBTS,7.23
2024-12-16,QCOM,152.56
2024-12-16,RGTI,8.43
2024-12-16,RIVN,15.34
2024-12-16,RKLB,25.9
2024-12-16,SBUX,89.43
2024-12-16,SNAP,11.34
2024-12-16,SNDL,1.68
2024-12-16,SOFI,16.88
2024-12-16,SOUN,19.69
2024-12-16,SPCE,6.57
2024-12-16,T,21.175
2024-12-16,TSLA,463.02
2024-12-16,UBER,60.25
2024-12-16,VST,143.979
2024-12-16,WMT,93.435
2024-12-16,XOM,102.41
2024-12-17,AAL,16.72
2024-12-17,AAPL,251.92
2024-12-17,ABBV,165.36
2024-12-17,ACHR,9.09
2024-12-17,AMC,4.25
2024-12-17,AMD,125.02
2024-12-17,AMZN,231.15
2024-12-17,AVGO,236.57
2024-12-17,BA,173.03
2024-12-17,BAC,43.41
2024-12-17,BBAI,3.4
2024-12-17,CCL,25.42
2024-12-17,COIN,311.64
2024-12-17,COST,974.25
2024-12-17,CRWD,376.42
2024-12-17,CVX,137.71
2024-12-17,DAL,59.76
2024-12-17,DIS,111.77
2024-12-17,DJT,38.01
2024-12-17,F,8.92
2024-12-17,GE,163.61
2024-12-17,GME,31.26
2024-12-17,GOOG,195.86
2024-12-17,GOOGL,194.16
2024-12-17,HOOD,41.63
2024-12-17,INTC,20.44
2024-12-17,IONQ,43.84
2024-12-17,JNJ,138.63
2024-12-17,JPM,229.81
2024-12-17,KO,60.3
2024-12-17,LCID,27.6
2024-12-17,LLY,769.16
2024-12-17,META,616.29
2024-12-17,MRK,95.08
2024-12-17,MRVL,111.89
2024-12-17,MSFT,449.24
2024-12-17,MU,107.875
2024-12-17,NEE,68.7576
2024-12-17,NFLX,91.913
2024-12-17,NKE,75.57
2024-12-17,NOW,222.944
2024-12-17,NVDA,130.09
2024-12-17,O,49.6815
2024-12-17,ORCL,166.81
2024-12-17,PFE,23.85
2024-12-17,PLTR,74.39
2024-12-17,PLUG,2.46
2024-12-17,PSEC,3.57
2024-12-17,PYPL,90.44
2024-12-17,QBTS,8.4
2024-12-17,QCOM,152.59
2024-12-17,RGTI,11.13
2024-12-17,RIVN,14.7
2024-12-17,RKLB,26.37
2024-12-17,SBUX,88.4
2024-12-17,SNAP,11.18
2024-12-17,SNDL,1.75
2024-12-17,SOFI,16.66
2024-12-17,SOUN,19.39
2024-12-17,SPCE,6.57
2024-12-17,T,21.165
2024-12-17,TSLA,479.86
2024-12-17,UBER,61.03
2024-12-17,VST,138.419
2024-12-17,WMT,93.985
2024-12-17,XOM,101.95
2024-12-18,AAL,16.47
2024-12-18,AAPL,246.49
2024-12-18,ABBV,163.0
2024-12-18,ACHR,8.95
2024-12-18,AMC,4.05
2024-12-18,AMD,121.41
2024-12-18,AMZN,220.52
2024-12-18,AVGO,219.96
2024-12-18,BA,172.62
2024-12-18,BAC,41.86
2024-12-18,BBAI,3.13
2024-12-18,CCL,24.52
2024-12-18,COIN,279.86
2024-12-18,COST,956.91
2024-12-18,CRWD,349.18
2024-12-18,CVX,133.68
2024-12-18,DAL,57.83
2024-12-18,DIS,110.1
2024-12-18,DJT,35.32
2024-12-18,F,8.64
2024-12-18,GE,157.76
2024-12-18,GME,28.55
2024-12-18,GOOG,188.89
2024-12-18,GOOGL,187.14
2024-12-18,HOOD,37.08
2024-12-18,INTC,19.3
2024-12-18,IONQ,37.5
2024-12-18,JNJ,136.97
2024-12-18,JPM,221.82
2024-12-18,KO,59.75
2024-12-18,LCID,25.3
2024-12-18,LLY,755.25
2024-12-18,META,594.04
2024-12-18,MRK,93.36
2024-12-18,MRVL,104.92
2024-12-18,MSFT,432.17
2024-12-18,MU,103.175
2024-12-18,NEE,67.0076
2024-12-18,NFLX,88.955
2024-12-18,NKE,74.47
2024-12-18,NOW,212.198
2024-12-18,NVDA,128.61
2024-12-18,O,47.9715
2024-12-18,ORCL,162.51
2024-12-18,PFE,23.31
2024-12-18,PLTR,71.51
2024-12-18,PLUG,2.22
2024-12-18,PSEC,3.46
2024-12-18,PYPL,85.03
2024-12-18,QBTS,8.96
2024-12-18,QCOM,147.72
2024-12-18,RGTI,10.69
2024-12-18,RIVN,13.06
2024-12-18,RKLB,22.92
2024-12-18,SBUX,86.21
2024-12-18,SNAP,11.22
2024-12-18,SNDL,1.7
2024-12-18,SOFI,15.24
2024-12-18,SOUN,20.845
2024-12-18,SPCE,6.19
2024-12-18,T,20.815
2024-12-18,TSLA,440.13
2024-12-18,UBER,61.23
2024-12-18,VST,131.539
2024-12-18,WMT,92.115
2024-12-18,XOM,100.36
2024-12-19,AAL,16.64
2024-12-19,AAPL,248.23
2024-12-19,ABBV,161.5
2024-12-19,ACHR,8.42
2024-12-19,AMC,4.09
2024-12-19,AMD,118.88
2024-12-19,AMZN,223.29
2024-12-19,AVGO,214.66
2024-12-19,BA,177.04
2024-12-19,BAC,41.74
2024-12-19,BBAI,2.82
2024-12-19,CCL,24.88
2024-12-19,COIN,273.92
2024-12-19,COST,946.97
2024-12-19,CRWD,351.03
2024-12-19,CVX,130.75
2024-12-19,DAL,59.33
2024-12-19,DIS,110.12
2024-12-19,DJT,35.41
2024-12-19,F,8.69
2024-12-19,GE,162.61
2024-12-19,GME,29.0
2024-12-19,GOOG,188.44
2024-12-19,GOOGL,187.25
2024-12-19,HOOD,36.94
2024-12-19,INTC,19.06
2024-12-19,IONQ,37.76
2024-12-19,JNJ,135.8
2024-12-19,JPM,224.41
2024-12-19,KO,59.35
2024-12-19,LCID,26.3
2024-12-19,LLY,748.08
2024-12-19,META,592.42
2024-12-19,MRK,94.54
2024-12-19,MRVL,108.75
2024-12-19,MSFT,431.81
2024-12-19,MU,86.365
2024-12-19,NEE,66.2576
2024-12-19,NFLX,90.204
2024-12-19,NKE,74.67
2024-12-19,NOW,214.974
2024-12-19,NVDA,130.38
2024-12-19,O,46.9215
2024-12-19,ORCL,165.89
2024-12-19,PFE,23.19
2024-12-19,PLTR,74.21
2024-12-19,PLUG,2.3
2024-12-19,PSEC,3.435
2024-12-19,PYPL,86.36
2024-12-19,QBTS,6.37
2024-12-19,QCOM,145.07
2024-12-19,RGTI,7.47
2024-12-19,RIVN,13.06
2024-12-19,RKLB,23.22
2024-12-19,SBUX,85.07
2024-12-19,SNAP,11.3
2024-12-19,SNDL,1.73
2024-12-19,SOFI,15.03
2024-12-19,SOUN,18.855
2024-12-19,SPCE,5.98
2024-12-19,T,20.905
2024-12-19,TSLA,436.17
2024-12-19,UBER,60.21
2024-12-19,VST,135.849
2024-12-19,WMT,91.965
2024-12-19,XOM,99.45
2024-12-20,AAL,16.88
2024-12-20,AAPL,252.93
2024-12-20,ABBV,165.56
2024-12-20,ACHR,9.49
2024-12-20,AMC,4.18
2024-12-20,AMD,119.21
2024-12-20,AMZN,224.92
2024-12-20,AVGO,217.13
2024-12-20,BA,177.35
2024-12-20,BAC,42.53
2024-12-20,BBAI,3.11
2024-12-20,CCL,26.5
2024-12-20,COIN,278.71
2024-12-20,COST,946.24
2024-12-20,CRWD,362.29
2024-12-20,CVX,132.45
2024-12-20,DAL,59.88
2024-12-20,DIS,110.78
2024-12-20,DJT,34.71
2024-12-20,F,8.83
2024-12-20,GE,166.18
2024-12-20,GME,29.82
2024-12-20,GOOG,191.7
2024-12-20,GOOGL,190.15
2024-12-20,HOOD,38.33
2024-12-20,INTC,19.52
2024-12-20,IONQ,44.42
2024-12-20,JNJ,136.69
2024-12-20,JPM,229.05
2024-12-20,KO,59.45
2024-12-20,LCID,30.2
2024-12-20,LLY,758.3
2024-12-20,META,582.1
2024-12-20,MRK,93.07
2024-12-20,MRVL,111.54
2024-12-20,MSFT,431.38
2024-12-20,MU,89.395
2024-12-20,NEE,68.1576
2024-12-20,NFLX,90.905
2024-12-20,NKE,74.51
2024-12-20,NOW,218.25
2024-12-20,NVDA,134.4
2024-12-20,O,47.9515
2024-12-20,ORCL,166.76
2024-12-20,PFE,23.78
2024-12-20,PLTR,80.55
2024-12-20,PLUG,2.56
2024-12-20,PSEC,3.39
2024-12-20,PYPL,86.71
2024-12-20,QBTS,6.44
2024-12-20,QCOM,147.56
2024-12-20,RGTI,9.37
2024-12-20,RIVN,13.83
2024-12-20,RKLB,24.87
2024-12-20,SBUX,84.28
2024-12-20,SNAP,11.4
2024-12-20,SNDL,1.8
2024-12-20,SOFI,15.35
2024-12-20,SOUN,21.755
2024-12-20,SPCE,6.1
2024-12-20,T,21.085
2024-12-20,TSLA,421.06
2024-12-20,UBER,60.73
2024-12-20,VST,138.8205
2024-12-20,WMT,90.805
2024-12-20,XOM,99.81
2024-12-23,AAL,17.25
2024-12-23,AAPL,253.71
2024-12-23,ABBV,168.37
2024-12-23,ACHR,9.38
2024-12-23,AMC,4.12
2024-12-23,AMD,124.6
2024-12-23,AMZN,225.06
2024-12-23,AVGO,229.28
2024-12-23,BA,177.69
2024-12-23,BAC,42.25
2024-12-23,BBAI,3.19
2024-12-23,CCL,25.43
2024-12-23,COIN,268.15
2024-12-23,COST,942.08
2024-12-23,CRWD,361.5
2024-12-23,CVX,132.57
2024-12-23,DAL,60.47
2024-12-23,DIS,110.15
